pathwayID,nbID
R-HSA-9636003,1
R-HSA-168181,105
R-HSA-212165,287
R-HSA-3249367,3
R-HSA-376172,4
R-HSA-5688354,1
R-HSA-70895,23
R-HSA-391908,9
R-HSA-9769735,23
R-HSA-1650814,67
R-HSA-6811442,178
R-HSA-9730414,149
R-HSA-73614,11
R-HSA-9033241,64
R-HSA-2424491,30
R-HSA-9639775,4
R-HSA-2197563,12
R-HSA-9914274,1
R-HSA-77352,5
R-HSA-69166,14
R-HSA-114452,30
R-HSA-174084,54
R-HSA-1482883,7
R-HSA-70326,90
R-HSA-5610787,88
R-HSA-1482798,6
R-HSA-8849471,15
R-HSA-9766229,53
R-HSA-9696270,43
R-HSA-1839130,14
R-HSA-9669937,1
R-HSA-5610783,47
R-HSA-5674404,1
R-HSA-193775,13
R-HSA-9617324,21
R-HSA-9682385,30
R-HSA-174437,17
R-HSA-193993,6
R-HSA-9637687,23
R-HSA-3656225,8
R-HSA-159234,47
R-HSA-169911,40
R-HSA-2980736,87
R-HSA-1852241,283
R-HSA-72766,370
R-HSA-1480926,12
R-HSA-140342,13
R-HSA-173107,12
R-HSA-3065679,6
R-HSA-1257604,201
R-HSA-9669938,22
R-HSA-6807878,81
R-HSA-9818564,101
R-HSA-3595172,8
R-HSA-196849,128
R-HSA-211935,16
R-HSA-9796292,14
R-HSA-2033514,14
R-HSA-9918476,9
R-HSA-5679096,2
R-HSA-9764790,11
R-HSA-69560,4
R-HSA-5610785,47
R-HSA-1538133,27
R-HSA-5661270,5
R-HSA-3065678,7
R-HSA-2562578,9
R-HSA-9669935,1
R-HSA-5205647,39
R-HSA-391903,15
R-HSA-6805567,217
R-HSA-1855229,34
R-HSA-159236,78
R-HSA-3371556,95
R-HSA-186763,30
R-HSA-9734195,1
R-HSA-9664420,12
R-HSA-72764,94
R-HSA-4755609,2
R-HSA-9865881,26
R-HSA-9013106,75
R-HSA-168270,9
R-HSA-9669936,1
R-HSA-5362517,41
R-HSA-9673324,12
R-HSA-9936900,1
R-HSA-9769739,52
R-HSA-167290,33
R-HSA-3595174,8
R-HSA-918233,15
R-HSA-6799990,6
R-HSA-9734281,1
